# 引擎硬编码串翻译表 ja<TAB>zhCN（换行写作 \n）
いいえ	否
敵全体にダメージ[Ⅸ] & 必ず幻惑(敵全/2T) & デバフ解除(味全)	对全体敌人造成伤害[Ⅸ] & 必定附带迷惑(全体敌人/2T) & 解除减益(全体)
敵全体にダメージ[Ⅸ] & 必ず幻惑(敵全/2T) & バフ解除(敵全)	对全体敌人造成伤害[Ⅸ] & 一定几率附带迷惑（全体敌人/2T） & 解除增益（全体敌人）
敵全体にダメージ[Ⅸ] & 確率でスタン(敵全/1T) & 必ず挑発(自/1T)	对全体敌人造成伤害[Ⅸ] & 一定几率附带麻痹(全体敌人/1T) & 必定附带挑衅(自己/1T)
敵全体にダメージ[Ⅸ]&防御力DOWN(敵全/3T)&防御力UP(自/3T)&マギアダメージUP(自/5T)	对敌方全体造成伤害[Ⅸ] & 防御力下降(敌方全体/3T) & 防御力提升(自身/3T) & Magia伤害提升(自身/5T)
敵全体にダメージ[Ⅹ] & MP回復(自) & 必ず回避(自/1T)	对全体敌人造成伤害[Ⅹ] & MP回复(自己) & 必定回避(自己/1T)
敵全体にダメージ[Ⅹ] & 確率で拘束(敵全/1T) & 確率でやけど(敵全/3T)	对全体敌人造成伤害[Ⅹ] & 束缚（全体敌人/1T） & 灼伤（全体敌人/3T）
敵全体に属性強化ダメージ & 攻撃力UP(自/3T)&Blast ダメージUP(全/3T)	对敌方全体造成属性强化伤害 & 攻击力提升(自身/3T) & Blast 伤害提升(我方全体/3T)
敵全体に属性強化ダメージ & 防御力UP ＆ マギアダメージカット状態 ＆ HP回復禁止	对敌方全体造成属性强化伤害 & 防御力提升 & Magia伤害削减状态 & HP回复禁止
敵全体に属性強化ダメージ & 霧(敵全/3T)	对敌方全体造成属性强化伤害 & 雾(敌方全体/3T)
敵全体に属性強化ダメージ&防御バフ＆ダメージカット＆HP回復禁止	对敌方全体造成属性强化伤害 & 防御增益 & 伤害削减 & 禁用HP回复
敵全体に属性強化ダメージ[Ⅰ] & Blast ダメージUP & 攻撃力UP & 火属性攻撃力UP(自/3T)	对敌方全体造成属性强化伤害[Ⅰ] & Blast伤害提升 & 攻击力提升 & 火属性攻击力提升(自身/3T)
敵全体に属性強化ダメージ[Ⅰ] & 全ディスク効果UP & デバフ効果を1回無効 & バリア(5000)を付与(味全/3T)	对敌方全体造成属性强化伤害[Ⅰ] & 全行动盘效果提升 & 减益1次无效 & 赋予屏障(5000)(我方全体/3T)
敵全体に属性強化ダメージ[Ⅰ] & 必ずスキル不可(敵全/∞)	对敌方全体造成属性强化伤害[Ⅰ] & 必定技能封印(敌方全体/∞)
敵全体に属性強化ダメージ[Ⅲ]	给予全部敌人属性强化伤害[Ⅲ]
敵全体に属性強化ダメージ[Ⅲ]& 攻撃力UP(自/3T)	对敌方全体造成属性强化伤害[Ⅲ] & 攻击力提升(自身/3T)
敵全体に属性強化ダメージ[Ⅳ]	给予全部敌人属性强化伤害[Ⅳ]
敵全体に属性強化ダメージ[Ⅴ] 	对敌方全体造成属性强化伤害[Ⅴ]
敵全体に属性強化ダメージ[Ⅴ] & Blast ダメージUP(全/3T) & ダメージUP(自/3T)	对全体敌人造成属性强化伤害[Ⅴ] & Blast伤害提升(全体/3T) & 伤害提升(自己/3T)
敵全体に属性強化ダメージ[Ⅴ] & 全ディスク効果UP & デバフ効果を1回無効 & バリア(8000)を付与(味全/3T) & HP回復(味全)	对敌方全体造成属性强化伤害[Ⅴ] & 全行动盘效果提升 & 减益1次无效 & 赋予屏障(8000)(我方全体/3T) & HP回复(我方全体)
敵全体に属性強化ダメージ[Ⅴ] & 攻撃力UP(自/3T)	对全体敌人造成属性强化伤害[Ⅴ] & 攻击力提升（自己/3T）
敵全体に属性強化ダメージ[Ⅴ] & 確率で魅了(敵全/1T)	对全体敌人造成属性强化伤害[Ⅴ] &一定几率附带诱惑（全体敌人/1T）
敵全体に属性強化ダメージ[Ⅵ] & 必ずやけど(3T) & マギアダメージUP(自/5T)	对敌方全体造成属性强化伤害[Ⅵ] & 必定灼伤(3T) & Magia伤害提升(自身/5T)
敵全体に属性強化ダメージ[Ⅵ] & 攻撃力UP(全/3T) & MP回復(自) & ダメージカット(自/1T)	对敌方全体造成属性强化伤害[Ⅵ] & 攻击力提升(我方全体/3T) & MP回复(自身) & 伤害削减(自身/1T)
敵全体に属性強化ダメージ[Ⅵ] & 霧(敵全/1T)	对敌方全体造成属性强化伤害[Ⅵ] & 附带雾(敌方全体/1T)
敵全体に属性強化ダメージ[Ⅵ] & 霧(敵全/3T)	对敌方全体造成属性强化伤害[Ⅵ] & 附带雾(敌方全体/3T)
敵全体に属性強化ダメージ[Ⅵ]&確率でスキル不可(敵全/1T)&MP自動回復(全/3T)	对全体敌人造成属性强化伤害[Ⅵ] & 一定几率技能封印(全体敌人/1T) & MP自动回复(全体/3T)
敵全体に属性強化ダメージ[Ⅶ] & Blast ダメージUP(味全/3T) & ダメージUP(自/3T)	对全体敌人造成属性强化伤害[Ⅶ] & Blast伤害提升(全体/3T) & 伤害提升(自己/3T)
敵全体に属性強化ダメージ[Ⅶ] & Charge後ダメージUP(味全/5T)	给予全部敌人属性强化伤害[Ⅶ] & Charge后伤害提升(全/5T)
敵全体に属性強化ダメージ[Ⅶ] & MP回復(自)  & 確率で回避(自/1T)	对敌方全体造成属性强化伤害[Ⅶ] & MP回复(自身) & 概率回避(自身/1T)
敵全体に属性強化ダメージ[Ⅶ] & MP回復(自) & 確率で回避(自/1T)	对全体敌人造成属性强化伤害[Ⅶ] & MP回复（自己）  & 一定几率回避（自己/1T）
敵全体に属性強化ダメージ[Ⅶ] & 攻撃力UP(自/3T)	对敌方全体造成属性强化伤害[Ⅶ] & 攻击力提升(自身/3T)
敵全体に属性強化ダメージ[Ⅶ] & 攻撃力UP(自/3T) & Blast ダメージUP(味全/3T)	对全体敌人造成属性强化伤害[Ⅶ] & 攻击力提升（自己/3T）&Blast伤害提升（全体/3T）
敵全体に属性強化ダメージ[Ⅶ] & 木属性攻撃力UP & マギアダメージUP(自/3T) & MP自動回復(自/1T) & デバフ解除(自)	对敌方全体属性强化伤害[Ⅶ] & 木属性攻击力提升 & Magia伤害提升(自/3T) & 自动回复MP(自/1T) & 解除减益(自)
敵全体に属性強化ダメージ[Ⅶ] & 火属性攻撃力UP & 防御力UP & 状態異常耐性UP & バリア(5000)を付与(味全/3T)	对敌方全体属性强化伤害[Ⅶ] & 火属性攻击力提升 & 防御力提升 & 状态异常耐性提升 & 给与屏障(5000)(己全/3T)
敵全体に属性強化ダメージ[Ⅶ] & 確率でスタン(敵全/1T) & HP自動回復(全/3T)	对全体敌人造成属性强化伤害[Ⅶ] & 一定几率眩晕(全体敌人/1T) & HP自动回复(全体/3T)
敵全体に属性強化ダメージ[Ⅶ] & 確率で霧(敵全/3T) & Charge後ダメージUP & Accele MPUP(味全/3T)	对全体敌人造成属性强化伤害[Ⅶ] & 附带雾(全体敌人)&Charge后伤害提升&Accele MP提升(全体/3T)
敵全体に属性強化ダメージ[Ⅶ] & 霧(敵全)&Charge後ダメージUP&Accele MPUP(全/3T)	对全体敌人造成属性强化伤害[Ⅶ] & 附带雾(全体敌人)&Charge后伤害提升&Accele MP提升(全体/3T)
敵全体に属性強化ダメージ[Ⅷ] & デバフ解除(全) & 攻撃力UP & HP自動回復(全/3T)	对敌方全体造成属性强化伤害[Ⅷ] & 解除减益(我方全体) & 攻击力提升 & HP自动回复(我方全体/3T)
敵全体に属性強化ダメージ[Ⅷ] & マギアダメージUP & 闇属性攻撃力UP(味全/3T)	对敌方全体属性强化伤害[Ⅷ] & Magia伤害提升 & 暗属性攻击力提升(己全/3T)
敵全体に属性強化ダメージ[Ⅷ] & 必ずスキル不可(敵全/1T) & MP自動回復(味全/3T)	给予全部敌人属性强化伤害[Ⅷ] ＆ 必定付与禁用技能(全部敌人/1T) ＆ MP自动回复(全部/3T)
敵全体に属性強化ダメージ[Ⅸ] & MP回復(自) & 必ず回避(自/1T)	对全体敌人造成属性强化伤害[Ⅸ] & MP回复（自己）  & 必定回避（自己/1T）
敵全体に属性強化ダメージ[Ⅹ] & MP自動回復(全/3T)	对敌方全体造成属性强化伤害[Ⅹ] & MP自动回复(我方全体/3T)
敵全体ダメージ[Ⅰ] & デバフ効果を3回反射 & 被ダメージ時MPUP & 必ず挑発 & 必ず強化カウンター	对敌方全体造成伤害[Ⅰ] & 减益3次反射 & 受击时MP提升 & 必定挑衅 & 必定强化反击
敵全体ダメージ[Ⅶ] & HP回復(全) & 攻撃力UP(全/3T)	对敌方全体造成伤害[Ⅶ] & HP回复(我方全体) & 攻击力提升(我方全体/3T)
敵単体にダメージ	对敌方单体造成伤害
敵単体にダメージ & サヴァイヴ & 必ずクリティカル & 必ずカウンター(自/2T)	对敌方单体造成伤害 & 幸存 & 必定暴击 & 必定反击(自身/2T)
敵単体にダメージ & 必ずクリティカル	对敌方单体造成伤害 & 必定暴击
敵単体にダメージ & 必ず回避(自/1T)	对敌方单体造成伤害 & 必定回避(自身/1T)
敵単体にダメージ & 必ず挑発(自/1T) & HP自動回復(自/3T)	对敌方单体造成伤害 & 必定挑衅(自身/1T) & HP自动回复(自身/3T)
敵単体にダメージ & 確率でカウンター(全/3T)	对敌方单体造成伤害 & 概率反击(我方全体/3T)
敵単体にダメージ & 確率で拘束(敵単/1T) & 攻撃・防御力DOWN(敵単/3T)	对敌方单体造成伤害 & 概率束缚(敌方单体/1T) & 攻击·防御力下降(敌方单体/3T)
敵単体にダメージ & 防御力UP & 攻撃力UP(全/3T)	对敌方单体造成伤害 & 防御力提升 & 攻击力提升(我方全体/3T)
敵単体にダメージ &防御力DOWN&さらに防御力DOWN(敵単/3T)	对敌方单体造成伤害 & 防御力下降 & 进一步防御力下降(敌方单体/3T)
敵単体にダメージ& HP自動回復(全/3T)	对敌方单体造成伤害 & HP自动回复(我方全体/3T)
敵単体にダメージ& 攻撃力UP & 防御力UP(自/2T) & 確率でクリティカル(自/2T)	对敌方单体造成伤害 & 攻击力提升 & 防御力提升(自身/2T) & 概率暴击(自身/2T)
敵単体にダメージ& 状態異常耐性UP(自/3T) & デバフ解除(自)	对敌方单体造成伤害 & 异常状态耐性提升(自身/3T) & 解除减益(自身)
敵単体にダメージ&回避(自/1T)&HP自動回復(自/3T)	对敌方单体造成伤害 & 回避(自身/1T) & HP自动回复(自身/3T)
敵単体にダメージ&防御力DOWN(敵単/3T)	对敌方单体造成伤害 & 防御力下降(敌方单体/3T)
敵単体にダメージ[XX]	对敌方单体造成伤害[XX]
敵単体にダメージ[Ⅰ]	对单个敌人造成伤害[Ⅰ] 
敵単体にダメージ[Ⅰ] 	对单个敌人造成伤害[Ⅰ]
敵単体にダメージ[Ⅰ] & ChargeディスクダメージUP & Charge後ダメージUP & 確率で防御無視(自/3T)	对敌方单体造成伤害[Ⅰ] & Charge行动盘伤害提升 & Charge后伤害提升 & 概率无视防御(自身/3T)
敵単体にダメージ[Ⅰ] & Charge後被ダメージUP	对敌方单体造成伤害[Ⅰ] & Charge后所受伤害提升
敵単体にダメージ[Ⅰ] & HP回復(味全) & 状態異常耐性UP(味全/3T)	对敌方单体造成伤害[Ⅰ] & HP回复(我方全体) & 异常状态耐性提升(我方全体/3T)
敵単体にダメージ[Ⅰ] & HP自動回復(全/3T)	对单个敌人造成伤害[Ⅰ] & HP自动回复（全体/3T）
敵単体にダメージ[Ⅰ] & MP回復	对敌方单体造成伤害[Ⅰ] & MP回复
敵単体にダメージ[Ⅰ] & MP回復(自)	对敌方单体造成伤害[Ⅰ] & MP回复(自身)
敵単体にダメージ[Ⅰ] & MP獲得量DOWN(敵単/3T) & MPダメージ(敵単) & マギアダメージUP(味全/3T)	对敌方单体造成伤害[Ⅰ] & MP获得量降低(敌方单体/3T) & MP伤害(敌方单体) & Magia伤害提升(我方全体/3T)
敵単体にダメージ[Ⅰ] & やけど(敵単/1T)	对敌方单体造成伤害[Ⅰ] & 灼伤(敌方单体/1T)
敵単体にダメージ[Ⅰ] & サヴァイヴ(自/2T)	对敌方单体造成伤害[Ⅰ] & 幸存(自身/2T)
敵単体にダメージ[Ⅰ] & デバフ効果を1回無効 & 状態異常を1回無効(味全/3T) & 蘇生	对敌方单体造成伤害[Ⅰ] & 减益1次无效 & 异常状态1次无效(我方全体/3T) & 复活
敵単体にダメージ[Ⅰ] & バフ解除	对敌方单体造成伤害[Ⅰ] & 解除增益
敵単体にダメージ[Ⅰ] & バフ解除 & 状態強化解除(敵単) & ダメージUP(味全/3T)	对敌方单体造成伤害[Ⅰ] & 解除增益 & 解除状态强化(敌方单体) & 伤害提升(我方全体/3T)
敵単体にダメージ[Ⅰ] & マギアダメージUP(自/5T) & MP回復(自)	对敌方单体造成伤害[Ⅰ] & Magia伤害提升(自身/5T) & MP回复(自身)
敵単体にダメージ[Ⅰ] & 必ずかばう & 防御力DOWN	对敌方单体造成伤害[Ⅰ] & 必定保护 & 防御力降低
敵単体にダメージ[Ⅰ] & 必ずやけど(敵単/3T) & 攻撃力UP & 防御力UP(自/3T)	对敌方单体造成伤害[Ⅰ] & 必定灼伤(敌方单体/3T) & 攻击力提升 & 防御力提升(自身/3T)
敵単体にダメージ[Ⅰ] & 必ずカウンター(自/1T)	对敌方单体造成伤害[Ⅰ] & 必定反击(自身/1T)
敵単体にダメージ[Ⅰ] & 必ず魅了	对敌方单体造成伤害[Ⅰ] & 必定魅惑
敵単体にダメージ[Ⅰ] & 必ず魅了(敵全/1T)	对敌方单体造成伤害[Ⅰ] & 必定魅惑(敌方全体/1T)
敵単体にダメージ[Ⅰ] & 必ず魅了(敵単/1T)	对单个敌人造成伤害[Ⅰ] & 必定附带诱惑（单个敌人/1T）
敵単体にダメージ[Ⅰ] & 攻撃力DOWN & 防御力DOWN & 状態異常耐性DOWN & 与えるダメージDOWN(敵全/3T)	对敌方单体造成伤害[Ⅰ] & 攻击力降低 & 防御力降低 & 异常状态耐性降低 & 造成伤害降低(敌方全体/3T)
敵単体にダメージ[Ⅰ] & 攻撃力UP & バフ解除 & 状態強化解除	对敌方单体造成伤害[Ⅰ] & 攻击力提升 & 解除增益 & 解除状态强化
敵単体にダメージ[Ⅰ] & 攻撃力UP & 防御力UP & HP自動回復	对敌方单体造成伤害[Ⅰ] & 攻击力提升 & 防御力提升 & HP自动回复
敵単体にダメージ[Ⅰ] & 攻撃力UP & 防御力UP(自/3T)	对敌方单体造成伤害[Ⅰ] & 攻击力提升 & 防御力提升(自身/3T)
敵単体にダメージ[Ⅰ] & 攻撃力UP(味全/5T) & バフ解除 & 状態強化解除(敵単)	对敌方单体造成伤害[Ⅰ] & 攻击力提升(我方全体/5T) & 解除增益 & 解除状态强化(敌方单体)
敵単体にダメージ[Ⅰ] & 木属性耐性DOWN & HP回復	对敌方单体造成伤害[Ⅰ] & 木属性耐性降低 & HP回复
敵単体にダメージ[Ⅰ] & 木属性耐性DOWN & 木属性攻撃力UP & HP回復	对敌方单体造成伤害[Ⅰ] & 木属性耐性降低 & 木属性攻击力提升 & HP回复
敵単体にダメージ[Ⅰ] & 様々なバフ	对敌方单体造成伤害[Ⅰ] & 各种增益
敵単体にダメージ[Ⅰ] & 火属性攻撃力UP & Blast ダメージUP	对敌方单体造成伤害[Ⅰ] & 火属性攻击力提升 & Blast伤害提升
敵単体にダメージ[Ⅰ] & 状態強化解除 & バフ解除	对敌方单体造成伤害[Ⅰ] & 解除状态强化 & 解除增益
敵単体にダメージ[Ⅰ] & 状態強化解除 & バフ解除 & ダメージUP	对敌方单体造成伤害[Ⅰ] & 解除状态强化 & 解除增益 & 伤害提升
敵単体にダメージ[Ⅰ] & 闇属性耐性DOWN & 闇属性攻撃力UP & ダメージUP	对敌方单体造成伤害[Ⅰ] & 暗属性耐性降低 & 暗属性攻击力提升 & 伤害提升
敵単体にダメージ[Ⅰ] & 防御力DOWN & さらに防御力DOWN(敵単/3T)	对敌方单体造成伤害[Ⅰ] & 防御力降低 & 进一步防御力降低(敌方单体/3T)
敵単体にダメージ[Ⅰ] & 防御力UP & 攻撃力UP(全/3T)	对单个敌人造成伤害[Ⅰ] & 防御力提升 & 攻击力提升（全体/3T）
敵単体にダメージ[Ⅰ]&防御力DOWN(敵単/3T)	给予单体敌人伤害[Ⅰ]&防御力下降(单体敌人/3T)
敵単体にダメージ[Ⅱ]	对敌方单体造成伤害[Ⅱ]
敵単体にダメージ[Ⅱ] & HP回復(全)	对单个敌人造成伤害[Ⅱ] & HP回复（全体）
敵単体にダメージ[Ⅱ] & HP自動回復(全/3T)	对单个敌人造成伤害[Ⅱ] & HP自动回复（全体/3T）
敵単体にダメージ[Ⅱ] & HP自動回復(全/3T)& 状態異常解除(全)	对敌方单体造成伤害[Ⅱ] & HP自动回复(我方全体/3T) & 解除异常状态(我方全体)
敵単体にダメージ[Ⅲ]	对敌方单体造成伤害[Ⅲ]
敵単体にダメージ[Ⅲ] & Charge後ダメージUP(全/3T)	对单个敌人造成伤害[Ⅲ] & Charge后伤害提升（全体/3T）
敵単体にダメージ[Ⅲ] & やけど(敵単/1T)	对敌方单体造成伤害[Ⅲ] & 灼伤(敌方单体/1T)
敵単体にダメージ[Ⅲ] & 必ず回避(自/1T)	对单个敌人造成伤害[Ⅲ] & 必定回避（自己/1T）
敵単体にダメージ[Ⅲ] & 必ず挑発(自/1T) 	对单个敌人造成伤害[Ⅲ] & 必定挑衅(自己/1T) 
敵単体にダメージ[Ⅲ] & 必ず挑発(自/1T) & HP自動回復(自/1T)	对单个敌人造成伤害[Ⅲ] & 必定挑衅（自己/1T） & HP自动回复（自己/1T）
敵単体にダメージ[Ⅲ] & 攻撃力UP & 防御力UP(全/3T) & バリア(自/5T/10000)	对敌方单体造成伤害[Ⅲ] & 攻击力提升 & 防御力提升(我方全体/3T) & 赋予屏障(自身/5T/10000)
敵単体にダメージ[Ⅲ] & 攻撃力UP(全/3T)	对单个敌人造成伤害[Ⅲ] & 攻击力提升（全体/3T）
敵単体にダメージ[Ⅲ] & 確率でスタン(敵単/1T) & 必ず挑発(自/1T)	对单个敌人造成伤害[Ⅲ] & 一定几率附带麻痹（单个敌人/1T） & 必定挑衅（自己/1T）
敵単体にダメージ[Ⅲ] & 追撃(自/1T)	对单个敌人造成伤害[Ⅲ] & 追击（自己/1T）
敵単体にダメージ[Ⅲ] & 防御力UP & 攻撃力UP(全/3T)	对单个敌人造成伤害[Ⅲ] & 防御力提升 & 攻击力提升（全体/3T）
敵単体にダメージ[Ⅲ] & 防御力UP(全/3T)	对单个敌人造成伤害[Ⅲ] & 防御力提升（全体/3T）
敵単体にダメージ[Ⅳ] & HP回復(全) & 状態異常耐性UP(全/3T)	对单个敌人造成伤害[Ⅳ] & HP回复（全体）& 状态异常耐性提升（全体/3T）
敵単体にダメージ[Ⅳ] & 防御力UP(全/3T) & HP回復(全) & 状態異常解除(全)	对单个敌人造成伤害[Ⅳ] & 防御力提升(全体/3T) & HP回复(全体) &  解除状态异常(全体)
敵単体にダメージ[Ⅴ]	对敌方单体造成伤害[Ⅴ]
敵単体にダメージ[Ⅴ] 	对敌方单体造成伤害[Ⅴ]
敵単体にダメージ[Ⅴ]  & 必ず挑発 & 確率で回避(自/1T)	对敌方单体造成伤害[Ⅴ] & 必定挑衅 & 概率回避(自身/1T)
敵単体にダメージ[Ⅴ]  & 必ず挑発 & 確率で回避(自/1T) & 防御力UP(全/3T)	对敌方单体造成伤害[Ⅴ] & 必定挑衅 & 概率回避(自身/1T) & 防御力提升(我方全体/3T)
敵単体にダメージ[Ⅴ] & Charge後ダメージUP(全/3T)	对单个敌人造成伤害[Ⅴ] & Charge后伤害提升（全体/3T）
敵単体にダメージ[Ⅴ] & MP回復(自)	对单个敌人造成伤害[Ⅴ] & MP回复（自己）
敵単体にダメージ[Ⅴ] & MP獲得量DOWN & 防御力DOWN(敵単/3T) & HP回復(自)	对单个敌人造成伤害[Ⅴ] & MP获得量下降 & 防御力下降(单个敌人/3T) & HP回复(自己)
敵単体にダメージ[Ⅴ] & やけど(敵単/3T) & Blast ダメージUP(自/3T)	对敌方单体造成伤害[Ⅴ] & 灼伤(敌方单体/3T) & Blast伤害提升(自身/3T)
敵単体にダメージ[Ⅴ] & 必ずクリティカル(自/2T)	对敌方单体造成伤害[Ⅴ] & 必定暴击(自身/2T)
敵単体にダメージ[Ⅴ] & 必ずスキル不可(単/2T) & Accele MPUP & 確率で回避無効(全/3T)	对敌方单体造成伤害[Ⅴ] & 必定技能封印(单个/2T) & Accele MP提升 & 概率回避无效(我方全体/3T)
敵単体にダメージ[Ⅴ] & 必ず魅了・呪い・暗闇(敵単/1T) & 攻撃力UP(全/3T)	对敌方单体造成伤害[Ⅴ] & 必定赋予诱惑·诅咒·黑暗(敌方单体/1T) & 攻击力提升(我方全体/3T)
敵単体にダメージ[Ⅴ] & 攻撃力DOWN(単/3T) & ダメージカット(自/3T) & 必ず挑発(自/1T) 	对敌方单体造成伤害[Ⅴ] & 攻击力下降(单个/3T) & 伤害削减(自身/3T) & 必定挑衅(自身/1T)
敵単体にダメージ[Ⅴ] & 攻撃力UP & Charge後ダメージUP(全/3T)	对单个敌人造成伤害[Ⅴ] & 攻击力提升 & Charge后伤害提升（全体/3T）
敵単体にダメージ[Ⅴ] & 攻撃力UP & 防御力UP(全/3T)	对敌方单体造成伤害[Ⅴ] & 攻击力提升 & 防御力提升(我方全体/3T)
敵単体にダメージ[Ⅴ] & 攻撃力UP & 防御力UP(自/2T) & 確率でクリティカル(自/2T)	对敌方单体造成伤害[Ⅴ] & 攻击力提升 & 防御力提升(自身/2T) & 概率暴击(自身/2T)
敵単体にダメージ[Ⅴ] & 状態異常耐性UP(自/3T) & デバフ解除(自)	对敌方单体造成伤害[Ⅴ] & 异常状态耐性提升(自身/3T) & 解除减益(自身)
敵単体にダメージ[Ⅴ] & 状態異常解除(全) 	对敌方单体造成伤害[Ⅴ] & 解除异常状态(我方全体)
敵単体にダメージ[Ⅴ] & 確率でカウンター(全/3T)	对敌方单体造成伤害[Ⅴ] & 一定几率反击(我方全体/3T)
敵単体にダメージ[Ⅴ] & 確率でスタン(敵単/1T) & 攻撃力UP(自/3T) & 必ずクリティカル(自/2T)	对敌方单体伤害[Ⅴ] & 概率眩晕(敌单/1T) & 攻击力提升(自/3T) & 必定暴击(自/2T)
敵単体にダメージ[Ⅴ] & 確率で拘束(敵単/1T) & 攻撃・防御力DOWN(敵単/3T)	对单个敌人造成伤害[Ⅴ] & 一定几率束缚(单个敌人/1T) & 攻击·防御力下降(单个敌人/3T)
敵単体にダメージ[Ⅴ] & 確率で暗闇(敵単/2T) & Accele MPUP(自/3T) 	对敌方单体造成伤害[Ⅴ] & 概率赋予黑暗(敌方单体/2T) & Accele MP提升(自身/3T)
敵単体にダメージ[Ⅴ] & 追撃(自/1T) 	对敌方单体造成伤害[Ⅴ] & 追击(自身/1T)
敵単体にダメージ[Ⅴ] & 追撃(自/1T) & 回避(自/1T)	对单个敌人造成伤害[Ⅴ] & 追击（自己/1T） & 回避（自己/1T）
敵単体にダメージ[Ⅴ] & 防御力DOWN(敵単/3T) 	对敌方单体造成伤害[Ⅴ] & 防御力下降(敌方单体/3T)
敵単体にダメージ[Ⅴ] & 防御力UP(全/3T) & デバフ解除(全)	对单个敌人造成伤害[Ⅴ] & 防御力提升（全体/3T） & 解除减益（全体）
敵単体にダメージ[Ⅴ] & 防御力UP(味全/3T) & デバフ解除(味全)	对单个敌人造成伤害[Ⅴ] & 防御力提升（全体/3T） & 解除减益（全体）
敵単体にダメージ[Ⅴ]&Charge後ダメージUP(全/3T)&ダメージUP(自/3T)	对单个敌人造成伤害[Ⅴ]&Charge后伤害提升（全体/3T）&伤害提升（自己/3T）
敵単体にダメージ[Ⅴ]&防御力DOWN&さらに防御力DOWN(敵単/3T)	给予单体敌人伤害[Ⅴ]&防御力下降&防御力再度下降(单体敌人/3T)
敵単体にダメージ[Ⅵ]	对敌方单体造成伤害[Ⅵ]
敵単体にダメージ[Ⅵ]&低HPほど威力UP&回避(自/1T)	对单个敌人造成伤害[Ⅵ]&HP越低威力越大&回避（自己/1T）
敵単体にダメージ[Ⅶ]	对敌方单体造成伤害[Ⅶ]
敵単体にダメージ[Ⅶ] 	对敌方单体造成伤害[Ⅶ]
敵単体にダメージ[Ⅶ]  & 必ず毒 & HP自動回復 & 状態異常解除	对敌方单体造成伤害[Ⅶ] & 必定毒 & HP自动回复 & 解除异常状态
敵単体にダメージ[Ⅶ] & Charge後ダメージUP & Blast ダメージUP(味全/3T)	对单个敌人造成伤害[Ⅶ]&Charge后伤害提升&Blast伤害提升（全体/3T）
敵単体にダメージ[Ⅶ] & MP回復(自)	对敌方单体造成伤害[Ⅶ] & MP回复(自身)
敵単体にダメージ[Ⅶ] & MP回復(自) & Accele MPUP(自/3T)	对单个敌人造成伤害[Ⅶ] & MP回复（自己） & Accele MP提升（自己/3T）
敵単体にダメージ[Ⅶ] & やけど(敵単/3T) & 攻撃力UP & 防御力UP(自/3T) & 必ず挑発(自/1T)	对敌方单体造成伤害[Ⅶ] & 灼伤(敌方单体/3T) & 攻击力提升 & 防御力提升(自身/3T) & 必定挑衅(自身/1T)
敵単体にダメージ[Ⅶ] & サヴァイヴ & 必ずクリティカル & 必ずカウンター(自/2T)	对单个敌人造成伤害[Ⅶ] & 幸存 & 必定暴击 & 必定反击（自己/2T）
敵単体にダメージ[Ⅶ] & マギアダメージUP(自/5T) & MP回復(自)	对单个敌人造成伤害[Ⅶ] & Magia伤害提升(自己/5T) & MP回复(自己)
敵単体にダメージ[Ⅶ] & マギアダメージUP(自/∞) & MP回復(自)	对敌方单体造成伤害[Ⅶ] & Magia伤害提升(自身/∞) & MP回复(自身)
敵単体にダメージ[Ⅶ] & 低HPほど威力UP & 防御力UP(味全/3T) & 必ずダメージカット無視 & HP回復(自)	对敌方单体伤害[Ⅶ] & 随HP降低而威力提升 & 防御力提升(全/3T) & 无视伤害削减 & 回复HP(自)
敵単体にダメージ[Ⅶ] & 必ずクリティカル & 必ずカウンター(自/2T)	对敌方单体造成伤害[Ⅶ] & 必定暴击 & 必定反击(自身/2T)
敵単体にダメージ[Ⅶ] & 必ずスキル不可(単/2T)	对敌方单体造成伤害[Ⅶ] & 必定技能封印(单体/2T)
敵単体にダメージ[Ⅶ] & 必ず拘束(敵単/1T) & 攻撃力・防御力DOWN(敵単/3T) & 必ず回避(自/1T)	对单个敌人造成伤害[Ⅶ] & 束缚(单个敌人/1T) & 攻击·防御力下降(单个敌人/3T) & 必定回避(自己/1T)
敵単体にダメージ[Ⅶ] & 必ず挑発 & 必ず回避(自/1T) & 防御力UP(味全/3T)	对单个敌人造成伤害[Ⅶ]  & 必定挑衅 & 必定回避（自己/1T）& 防御力提升（全体/3T）
敵単体にダメージ[Ⅶ] & 必ず挑発(自/1T) & HP自動回復 & ダメージカット状態(自/3T)	对单个敌人造成伤害[Ⅶ] & 必定附带挑衅(自己/1T) & HP自动回复(自己/3T) & 伤害削减(自己/3T) 
敵単体にダメージ[Ⅶ] & 必ず挑発(自/1T) & HP自動回復(自/3T) & ダメージカット(自/3T)	对敌方单体造成伤害[Ⅶ] & 必定挑衅(自身/1T) & HP自动回复(自身/3T) & 伤害削减(自身/3T)
敵単体にダメージ[Ⅶ] & 必ず挑発(自/1T) & 必ずカウンター(自/1T)	对单个敌人造成伤害[Ⅶ] & 必定挑衅（自己/1T） & 必定反击（自己/1T）
敵単体にダメージ[Ⅶ] & 必ず魅了 & 呪い ＆ 暗闇(敵単/1T) ＆ 状態強化解除 ＆ 攻撃力UP(全/1T)	对敌方单体造成伤害[Ⅶ] & 必定赋予诱惑 & 诅咒 & 黑暗(敌方单体/1T) & 解除状态强化 & 攻击力提升(我方全体/1T)
