sequence	file	key	field	before	after	method	score	match_ratio	evidence	source_ja	release_source
3492	pieceList.json	1534	pieceName	一如往常的特等席	习以为常的特等席	wiki_memoria_keyed	98	1.0	memoria.json number=1534 name_zh	いつもの特等席	wiki_authority
3493	pieceList.json	1535	description	“莫啾、莫啾莫啾、啾噗伊、莫啾——！啾啾、莫啾。”＠“呵呵……是啊，茶很好喝……来，饼干也给你。”＠“你听得懂它说什么？”“姐姐好厉害！”“我们完全听不懂……”＠“只是大概能明白……也许因为一直生活在一起吧。”“莫啾！”	“姆Q、姆Q姆Q、Q噗咿，姆Q！QQ、姆Q”＠“呵呵…是啊，茶很好喝呢…来，饼干也尝尝吧”＠“你知道它在说什么吗？”“姐姐大人好厉害！”“我们完全听不懂…”＠“只是隐约能理解就是了…是因为我们总是在一起吗”“姆Ｑ！”	wiki_memoria_keyed	98	1.0	memoria.json number=1535 desc_zh	「モッキュ、モキュモキュ、キュップイ、モキュゥ！キュキュ、モキュ」\n\n「ふふ…そうだね、お茶おいしいね…はい、クッキーもどうぞ」\n\n「言ってることわかるの？」「お姉さますごい！」「僕達には全然…」\n\n「なんとなくだけどね…ずっと一緒にいるからかな」「モキュッ！」	wiki_authority
3494	pieceList.json	1535	pieceName	只要看着你的眼睛	只要看你的眼神	wiki_memoria_keyed	98	1.0	memoria.json number=1535 name_zh	きみの眼を見れば	wiki_authority
3495	pieceList.json	1536	description	过去、愿望与战斗的理由，从来都不只有一种。＠即使如此，今天大家一同抬起头，一同露出了笑容。＠相信该走的道路只有一条，＠并祈愿前方会是光明的未来。	她们的过去——愿望——战斗的理由——都尽不相同＠尽管如此，那一天她们都共同仰望天空，共同露出了笑容＠坚信着前行的道路必将重叠＠祈愿着未来必然明亮无比	wiki_memoria_keyed	98	1.0	memoria.json number=1536 desc_zh	過去も願いも戦う理由も決してひとつではない\n\nそれでも今日はみんなで上を向いてみんなで笑った\n\n進むべき道はひとつだと信じて\n\n明るい未来であって欲しいと願う	wiki_authority
3496	pieceList.json	1536	pieceName	为战斗的少女祈福	为战斗的少女保佑	wiki_memoria_keyed	98	1.0	memoria.json number=1536 name_zh	戦う少女に御利益を	wiki_authority
3497	pieceList.json	1537	description	“莫啾！莫啾！……莫啾！……莫啾……!!＠莫啾、莫啾、莫、莫啾……！莫啾莫啾莫啾——!!”＠加油啊，小小丘比；不要输，小小丘比。＠只要拼命挣扎，努力一定会得到回报！	“姆Q！姆Q！…姆Q！…姆Q…!!＠姆Q、姆Q、姆、姆Q…！姆Q姆Q姆Q──!!”＠加油啊小丘比，别输啊小丘比＠拼命挣扎肯定会有所回报！	wiki_memoria_keyed	98	1.0	memoria.json number=1537 desc_zh	「モキュッ！モキュッ！…モキュ！…モキュッ…!!\n\nモキュ、モキュ、モ、モキュ…！モキュモキュモッキュゥゥ!!」\n\nがんばれ小さなキュゥべえ、負けるな小さなキュゥべえ\n\n必死でもがけば、きっと報われるはず！	wiki_authority
3498	pieceList.json	1537	pieceName	加油，小小救世主	加油小小救世主	wiki_memoria_keyed	98	1.0	memoria.json number=1537 name_zh	がんばれ小さな救世主	wiki_authority
3499	pieceList.json	1538	description	今天是无比重要的生日。＠一如往常的六个人，在一如往常的地方盛大庆祝。＠细细体会这种日常究竟有多么幸福，＠少女终于向前迈出了一步。	今天是重要的生日＠一如往常的六人，在一如往常的地方盛大地庆祝＠细细回味着这番日常是何等幸福＠少女向前又迈出了一步	wiki_memoria_keyed	98	1.0	memoria.json number=1538 desc_zh	今日は大事な大事な誕生日\n\nいつもの６人、いつもの場所で盛大にお祝い\n\nその日常がどれほどの幸福かを噛みしめて\n\n少女はひとつだけ前に進む	wiki_authority
3500	pieceList.json	1538	pieceName	名为“今天”的一生回忆	名为今天的生涯回忆	wiki_memoria_keyed	98	1.0	memoria.json number=1538 name_zh	今日という一生の思い出	wiki_authority
3501	pieceList.json	1539	description	蓝光与影碟第五卷全新绘制封面插图。	Blu-ray&DVD 第5卷 特别绘制封面插图	wiki_memoria_keyed	98	1.0	memoria.json number=1539 desc_zh	Blu-ray&DVD 第5巻 描き下ろしジャケットイラスト	wiki_authority
3502	pieceList.json	1539	pieceName	只要两个人在一起，就没问题	我们两人一心，就没有问题	wiki_memoria_keyed	98	1.0	memoria.json number=1539 name_zh	ふたりでいれば、大丈夫です	wiki_authority
3503	pieceList.json	1540	description	只要穿上这套衣服完成仪式，从今天起便能跻身大人之列。＠从明天起就能离开狭窄的村落，＠为更广阔的日之本贡献力量……＠怀抱这份信念，时女的巫女们启程前往水底。	穿上这件衣服举行仪式之后，今日起就要成为大人的一员了＠从明天开始，就要走出狭小的村落＠更加广泛地为日出之国尽心尽力了……＠如此相信的时女之巫们踏上了水底的旅程	wiki_memoria_keyed	98	1.0	memoria.json number=1540 desc_zh	この衣装を着て儀式をしたならば、今日から大人の仲間入り\n\n明日からは、狭い集落を出て\n\nより広く日の本のために尽くせるようになる…\n\nそう信じた時女の巫たちは水底に旅立った	wiki_authority
3504	pieceList.json	1540	pieceName	启程的衣装	启程的服装	wiki_memoria_keyed	98	1.0	memoria.json number=1540 name_zh	旅立ちの衣装	wiki_authority
3505	pieceList.json	1541	description	那是被出卖的愿望，是在不知意义的情况下实现的愿望。＠离开封闭的村落，见识更辽阔的世界后，＠她终于明白愿望的含义，也明白曾经发生的一切意味着什么。＠那份以笨拙方式守护下来的成果，如今令她感到骄傲。	虽然是被卖掉的愿望，虽然是不知其含义便实现了的愿望＠在走出封闭的村落，领略广阔的世界后＠总算是明白了愿望的含义，以及造成的结果的含义＠虽然是很难讲明白的要守护的事物，但我现在为之骄傲	wiki_memoria_keyed	98	1.0	memoria.json number=1541 desc_zh	売られた願いだった、その意味を知らぬまま叶えた願いだった\n\n閉ざされた集落から出て、広く世界を知り\n\nようやく願いの意味を、成されたことの意味を知った\n\nわかりにくくも守ったものが、今は誇らしい	wiki_authority
3506	pieceList.json	1541	pieceName	充盈日常的骄傲	充满日常的荣耀	wiki_memoria_keyed	98	1.0	memoria.json number=1541 name_zh	日常にあふれる誇り	wiki_authority
3507	pieceList.json	1542	description	“从这里能看见的微小日常……人们的生活，＠正是我们时女一族必须守护的东西。＠这条道路艰险而不易，＠但我再次发誓，要作为日之本的刀刃守护这份日常。”	“从这里能见到的平凡的日常…人们的生活＠正是我们时女一族要守护的事物＠这条路充满了艰难险阻＠我要再次立下誓言，要作为日出之国的剑刃来守护这份日常”	wiki_memoria_keyed	98	1.0	memoria.json number=1542 desc_zh	「ここから見えるささやかな日常…人々の営みこそが\n\n私たち時女一族が守るべきもの\n\nこの道は険しく、容易くはないけれど\n\n日の本の刃としてこの日常を守ると改めて誓うわ」	wiki_authority
3508	pieceList.json	1542	pieceName	再一次下定决心	重温决意	wiki_memoria_keyed	98	1.0	memoria.json number=1542 name_zh	改めて決意を	wiki_authority
3509	pieceList.json	1543	description	她每天都在照顾周围的人，所以今天轮到大家回报。＠仰望浑圆满月品尝的团子，是理想而诱人的甜点。＠脸庞也随之舒展开来，变得圆润，笑容轻快而明亮。＠“偶尔也可以撒撒娇哦。”	因为每天都是你在关心周围，今天就让我们来报答平时的恩情＠仰望着圆圆的满月吃下的团子，是理想中迷人的甜味＠表情也变得柔和，绽放出明快的笑容＠“稍微撒撒娇也不错呢”	wiki_memoria_keyed	98	1.0	memoria.json number=1543 desc_zh	毎日周りを気遣っているから、今日はいつもの恩返し\n\nまんまる満月を見上げて食べる、団子は理想で魅惑の甘味\n\n顔も綻びまーるくなって、笑顔が弾けて明るくなる\n\n「少しは甘えていいからね」	wiki_authority
3510	pieceList.json	1543	pieceName	献给始终努力的你	给一直努力的你	wiki_memoria_keyed	98	1.0	memoria.json number=1543 name_zh	いつも頑張るあなたに	wiki_authority
3511	pieceList.json	1544	description	向西、向东、向南、向北……＠从出生起，她便总是在不断搬家。＠所以行李只有一件：＠装满粗点心的包里，还添上了无数回忆。	向西、向东、向南、向北……＠自打出生以来，就总是被迫搬家。＠所以行李只有一个，＠在包里装上满满的粗点心，添上回忆	wiki_memoria_keyed	98	1.0	memoria.json number=1544 desc_zh	西へ、東へ、南へ、北へ…\n\n生まれたときから、いつも引っ越しに追われていた\n\nだから荷物はひとつだけ\n\nバッグいっぱいの駄菓子に、思い出を添えて	wiki_authority
3512	pieceList.json	1544	pieceName	垃圾食品少女的同行者	Junky Girl的同伴	wiki_memoria_keyed	98	1.0	memoria.json number=1544 name_zh	ジャンキーガールの道連れ	wiki_authority
3513	pieceList.json	1545	description	“看，有松软棒，还有迷你酸奶！＠这个则是附带抽奖的‘星鱿外星人’鱿鱼干！”＠时代流转，围在身边的人不断改变……＠可孩子们无论何时，都很容易被零食收买。	“看，软绵绵棒，还有超迷你酸奶！＠然后这边是，带着干乌贼星人奖签的鱿鱼丝！”＠虽然时间变了，成员变了……＠孩子们还是一样很难抵抗诱惑	wiki_memoria_keyed	98	1.0	memoria.json number=1545 desc_zh	「ほら、フワフワバーに、ミニミニヨーグルト！\n\nそれからこっちは、ホシイカ星人のくじ付きイカだ！」\n\n時は移ろい、メンツは変われど…\n\n子どもたちはいつでも餌付けに弱い	wiki_authority
3514	pieceList.json	1546	description	做得像口香糖一样，里面装着捕鼠夹弹簧的玩具。＠正因它古老得几乎被这个时代彻底遗忘，＠这种廉价恶作剧玩具才更能发挥真正价值。＠“嘿嘿嘿，这个……是和你交朋友的见面礼！”	装着捕鼠夹式的弹簧，做成口香糖样式的玩具＠正是因为太过怀念过去，在忘记它的这个时代＠廉价的恶作剧玩具才能发挥真正价值＠“嘿嘿嘿，这个是……亲近的标志！”	wiki_memoria_keyed	98	1.0	memoria.json number=1546 desc_zh	ネズミ捕り式のバネが仕込まれた、ガムそっくりのオモチャ\n\nむかし懐かしすぎて、その存在を忘れられたこの時代こそ\n\nチープないたずらオモチャが真価を発揮する\n\n「ヘヘヘッ、これは…お近づきのしるし！」	wiki_authority
3515	pieceList.json	1546	pieceName	作为亲近的信物	亲近的标志	wiki_memoria_keyed	98	1.0	memoria.json number=1546 name_zh	お近づきのしるし	wiki_authority
3516	pieceList.json	1547	description	有些日子以笑容结束，也有些日子会在眼泪中度过。＠每天的表情都从不相同，＠但只要走进那家熟悉的店，就能看见和昨天一样亲切的脸。＠所以……“明天也在明日屋见！”	有以笑容结束的日子，也有流泪的日子＠虽然没有哪天的表情是一样的＠只要去平常的那家店的话，就会露出和昨天一样令人怀念的表情＠所以…“回头在明日屋见吧！”	wiki_memoria_keyed	98	1.0	memoria.json number=1547 desc_zh	笑顔で終わる日もあれば、涙にくれる１日もある\n\n同じ表情をした日なんてひとつもないけれど\n\nいつものあの店に行けば、昨日と同じ懐かしい顔がある\n\nだから…「また、あした屋でな！」	wiki_authority
3517	pieceList.json	1547	pieceName	在“明天再见屋”	回头在明日屋见	wiki_memoria_keyed	98	1.0	memoria.json number=1547 name_zh	また、あした屋で	wiki_authority
3518	pieceList.json	1548	description	（虽然我能加速……但完全不知道怎么减速啊……）＠“……喂，润……你该不会……不知道怎么停下来吧……？”＠“…………”＠“……为、为什么不说话……!?”	（虽然会加速……但是不太清楚怎么减速啊……）＠“……喂，润……难道说……你不知道怎么刹车……吗……”＠“………………”＠“……怎，怎么不说话啊……！？”	wiki_memoria_keyed	98	1.0	memoria.json number=1548 desc_zh	（加速はできるんだけど…減速がよくわかんねェんだよァ…）\n\n「…ねぇ、潤…もしかして…止め方、わからない…とか…？」\n\n「…………」\n\n「…ど…どうして黙ったの…!?」	wiki_authority
3519	pieceList.json	1548	pieceName	大逃亡	The Great Escape	wiki_memoria_keyed	98	1.0	memoria.json number=1548 name_zh	ザ・グレート・エスケープ	wiki_authority
3520	pieceList.json	1549	description	一只装满化妆用品和杂志……＠另一只装进好几本乐谱……＠放学后依旧忙个不停的两个人，只有在课程全部结束后，＠才能在三日月庄获得片刻安宁。	一个包里，装着化妆工具和杂志…＠一个包里，装着好多本乐谱…＠能让放学后也很忙碌的两个人放松下来的是＠学习结束后，三日月庄里的片刻小憩	wiki_memoria_keyed	98	1.0	memoria.json number=1549 desc_zh	ひとつは、化粧道具と雑誌を詰めて…\n\nひとつは、何冊もの楽譜を詰めて…\n\n放課後も大忙しのふたりが落ち着けるのは\n\n習い事が終わってからの、みかづき荘でのひととき	wiki_authority
3521	pieceList.json	1549	pieceName	放学后的约会	放学后的特别碰头	wiki_memoria_keyed	98	1.0	memoria.json number=1549 name_zh	放課後の待ち合わせ	wiki_authority
3522	pieceList.json	1550	description	第一次来粗点心店而兴奋不已，＠对糖稀和软糖感到惊奇，吃得满脸幸福……＠过去只知道她爱哭的一面，所以感觉格外新鲜。＠……不过，也不代表我们已经变得亲近。	第一次来粗点心店就高兴到不得了，＠被麦芽糖和软糖吓了一跳，之后又吃得很开心…＠不知道爱哭鬼还有这一面，总感觉很新鲜＠…也不是说，关系就会这么变好的意思	wiki_memoria_keyed	98	1.0	memoria.json number=1550 desc_zh	駄菓子屋に来るのが初めてで浮かれていたり\n\n水あめやグミに驚いて、美味しそうに食べたり…\n\n泣き虫なところしか知らなかったから、なんだか新鮮\n\n…別に、仲良くなったわけじゃないけど	wiki_authority
3523	pieceList.json	1550	pieceName	不止相识，未满朋友	相识以上，朋友未满	wiki_memoria_keyed	98	1.0	memoria.json number=1550 name_zh	知り合い以上、友だち未満	wiki_authority
3524	pieceList.json	1551	description	“八千代，有什么已经能试吃了吗？”＠“咦……没有啊。海绵蛋糕糊才刚开始搅拌……”＠“这样啊……那草莓可以让我试吃吗？”＠“……你饿了吗？那就……特别允许你吃一颗。”	“小千，还有什么能尝尝味道的吗？”＠“哎…没有了。现在还在搅拌海绵蛋糕面团的阶段…”＠“这样吗…啊，那我能尝尝草莓嘛？”＠“…你是饿了吧？那…开个特例，只能吃一颗哦”	wiki_memoria_keyed	98	1.0	memoria.json number=1551 desc_zh	「やっちゃん、もう味見できるのはありますか？」\n\n「え…ないよ。まだスポンジ生地を混ぜてる段階だし…」\n\n「そうですか…あ、じゃあイチゴは味見していいですかっ？」\n\n「…お腹空いてるの？　じゃあ…特別に、１粒だけね」	wiki_authority
3525	pieceList.json	1551	pieceName	秘密特训	秘密的特训	wiki_memoria_keyed	98	1.0	memoria.json number=1551 name_zh	ナイショの特訓	wiki_authority
3526	pieceList.json	1552	description	既害怕受伤，也害怕伤害他人的我们，＠作为魔法少女还只能算半吊子。＠所以我们决定两个人一起努力，＠以成为能凭自己的力量守护重要事物的成熟魔法少女为目标。	害怕受伤，也害怕伤害别人的我们＠还只是半吊子的魔法少女＠所以，只有两个人一起努力＠才能用自己的力量守护重要的东西，以独当一面为目标	wiki_memoria_keyed	98	1.0	memoria.json number=1552 desc_zh	傷つくことも傷つけることも怖い私たちは\n\n魔法少女としては半人前\n\nだから、ふたりで頑張ることにした\n\n自分の力で大切なものを守れる、一人前を目指して	wiki_authority
3527	pieceList.json	1552	pieceName	一切从这里开始	从这里开始	wiki_memoria_keyed	98	1.0	memoria.json number=1552 name_zh	始まりはここから	wiki_authority
3528	pieceList.json	1553	description	“即使成为魔法少女的意义已经消失，＠也逃不开宿命……＠永远与死亡为邻，在战斗中不断受伤……＠再也不可能得到任何回报了……”	“即使已经失去了当初成为魔法少女的意义＠却无法从宿命中逃脱出来…＠时常与死作伴，因战而伤…＠可却再也无法得到回报了…”	wiki_memoria_keyed	98	1.0	memoria.json number=1553 desc_zh	「魔法少女になった意味が失われても\n\n宿命からは逃れられない…\n\nいつも死と隣り合わせで、戦って傷ついて…\n\n報われることなんて、二度とないんだ…」	wiki_authority
3529	pieceList.json	1553	pieceName	请让一切在这里结束	请在这里结束吧	wiki_memoria_keyed	98	1.0	memoria.json number=1553 name_zh	どうかここで終わらせて	wiki_authority
3530	pieceList.json	1554	description	哎呀，女仆小姐，你是不是弄错了？＠哎呀，女仆小姐，你的尖牙还真时髦。＠黄色的画布与鲜红的墨水，＠在那里绘出的，是一只可爱的蝙蝠。	哎呀呀女仆小姐，没有弄错吧？＠哎呀呀女仆小姐，好时髦的尖牙啊＠黄色的画布和鲜红的墨水＠用它们画出的是可爱的蝙蝠	wiki_memoria_keyed	98	1.0	memoria.json number=1554 desc_zh	あれれメイドさん、間違えてませんか？\n\nあれれメイドさん、おしゃれなキバですね\n\n黄色いキャンバスと真っ赤なインク\n\nそこに描かれたのは可愛いコウモリ	wiki_authority
3531	pieceList.json	1554	pieceName	吸血鬼女仆	Maid in Vampire	wiki_memoria_keyed	98	1.0	memoria.json number=1554 name_zh	メイド・イン・ヴァンパイア	wiki_authority
3532	pieceList.json	1555	description	“……咦…………？”＠“被这双獠牙咬中的人，将成为我的眷属。＠……呵呵，不必害怕，疼痛只有一瞬。＠让我们共同沉醉于名为万圣节的盛宴吧。”	“……诶…………？”＠“被这尖牙咬到的人，将会成为我的眷属＠……呵呵呵，无需恐惧，疼痛只有一瞬＠共同沉醉在名为万圣节的盛宴里吧”	wiki_memoria_keyed	98	1.0	memoria.json number=1555 desc_zh	「…えっ…………？」\n\n「この牙を受けた者は、我が眷属となる\n\n…ふふっ、怖がることはない、痛みは一瞬\n\n共にハロウィンという名の饗宴に耽ろうではないか」	wiki_authority
3533	pieceList.json	1555	pieceName	今夜共赴盛宴	今晚共享盛宴	wiki_memoria_keyed	98	1.0	memoria.json number=1555 name_zh	今宵は共に饗宴を	wiki_authority
3534	pieceList.json	1556	description	摆出造型的手指，指向自己最脆弱的地方。＠驱使她这样做的，是反省与奉献。＠发生在缺乏爱意的女仆身上的万圣节奇迹。＠“已经牢牢记进眼睛了吧。我到死都不会再做第二次。”	用手指比出了自己的脆弱之处＠其动机是反省和献身＠发生在没有爱情的女仆身上的、万圣节的奇迹＠“已经烙印在视网膜上了，到死都不会忘记”	wiki_memoria_keyed	98	1.0	memoria.json number=1556 desc_zh	象る指が自らの脆いところを指し示す\n\nその動機は反省と献身\n\n愛情なきメイドに起きた、ハロウィンの奇跡\n\n「網膜に焼き付けたか。もう死ぬまでやらんぞ」	wiki_authority
3535	pieceList.json	1556	pieceName	诚意之心	诚挚的心	wiki_memoria_keyed	98	1.0	memoria.json number=1556 name_zh	誠意のハート	wiki_authority
3536	pieceList.json	1557	description	曾经华美的衣装已经撕裂，满是伤痕。＠跪倒在地仍不愿退让，是因为还不明白自己的心。＠借助支撑仍不愿退让，是因为已经明白对方的心。＠因此，两人把各自拥有的一切全部碰撞在一起。	虽然美丽的衣服裂开了，身体也遍体鳞伤＠即使膝盖触地也不能让步，是因为不知道自己的心＠即使是硬撑着也不能让步，是因为知道那颗心＠因此，两人将拥有的一切碰撞在一起	wiki_memoria_keyed	98	1.0	memoria.json number=1557 desc_zh	美しかった衣装は裂け、傷だらけ\n\n膝をついてなお、譲れないのは己の心がわからないから\n\n支えに頼りながらなお、譲れないのはその心を知っているから\n\n故に、ふたりは持てる全てをぶつけあう	wiki_authority
3537	pieceList.json	1557	pieceName	因知晓痛苦而哀悼	知晓痛苦 所以悼念	wiki_memoria_keyed	98	1.0	memoria.json number=1557 name_zh	痛みを知るゆえに悼む	wiki_authority
3538	pieceList.json	1558	description	她只想陪伴那些已经不在的人，＠却不曾意识到这本身就是一份高尚的祈愿，仍不断徘徊寻找答案。＠“承认它吧。”＠直到听见这句话，她才终于看清自己祈祷的真正形态。	想要靠近现已不在的人们＠没有意识到那本身就已经是崇高的祈祷，只是彷徨地寻找着答案＠“认可自己吧”＠通过这句话，终于找到了自己的祈祷应有的状态	wiki_memoria_keyed	98	1.0	memoria.json number=1558 desc_zh	今はもういない人たちに寄り添いたかった\n\nそれ自体が立派な祈りだとは気づくことなく答えを探し彷徨った\n\n「認めてやれよ」\n\nその言葉でようやく己の祈りの在り方を見いだせた	wiki_authority
3539	pieceList.json	1558	pieceName	连接死者与生者的祈祷	连系死者和生者的祈祷	wiki_memoria_keyed	98	1.0	memoria.json number=1558 name_zh	死者と生者を繋ぐ祈り	wiki_authority
3540	pieceList.json	1559	description	带来活力的少女，与在书海中微笑的少女，＠穿着又可怕又可爱的装扮，漫步黄昏城镇。＠“不给糖就捣蛋！不给点心，我就要恶作剧！”＠即使平时甜美可人，今天两人的恶作剧可一点都不甜。	送出活力的少女、被书本环绕微笑着的少女＠穿着可怕又可爱的装扮，在夜晚的街道上缓缓前行＠“Trick or treat！不给点心我就要捣蛋咯！”＠即使是一直都很温和的两个人，今天的恶作剧也一点都不温和	wiki_memoria_keyed	98	1.0	memoria.json number=1559 desc_zh	元気を届けるあの少女、本に囲まれ微笑むあの少女\n\n怖くて可愛い仮装を着こなし、宵の町を練り歩く\n\n「トリックオアトリート！お菓子をくれなきゃイタズラしちゃうぞ！」\n\nいつもは甘いふたりでも、今日のイタズラは甘くない	wiki_authority
3541	pieceList.json	1559	pieceName	爱恶作剧的两人	捣蛋的两人	wiki_memoria_keyed	98	1.0	memoria.json number=1559 name_zh	悪戯なふたり	wiki_authority
3542	pieceList.json	1560	description	“不愧是桃子！真的太适合了，我的眼光果然没错！＠以白色为主果然是正确选择，能突出桃子年轻的魅力……＠而且还像婚纱一样……让人心跳加速～桃子是不是＠也稍微想象了一下……”“才没有！真是的～～你话也太多了！”	“不愧是桃子！非常合适哟。我都要转不开眼睛了！＠以白色为基调是正确的选择呢，突出了桃子年轻的魅力，＠看起来就像是婚纱一样……真让人心动~。桃子也＠来想象一下……”“才不会想！真是的~~你话好多啊！”	wiki_memoria_keyed	98	1.0	memoria.json number=1560 desc_zh	「さすがももこ！とっても似合ってるわ。私の目に狂いなし！\n\n白を基調にしたのは正解だったわね。ももこの若い魅力が際立つし…、\n\nウェディングドレスっぽくも見えて…ドキドキしちゃうわ～。ももこも\n\nちょっとは想像した…」「してない！も～～、よく喋るなぁ！」	wiki_authority
3543	pieceList.json	1560	pieceName	让梦想裹上纯白头纱	把梦包在雪白的头巾里	wiki_memoria_keyed	98	1.0	memoria.json number=1560 name_zh	夢は真っ白なベールに包んで	wiki_authority
3544	pieceList.json	1561	description	“请好好忏悔。”＠背靠十字形光芒，她文静地这样说道。＠平时负责活跃班级气氛的开朗女孩，＠站在烦恼之人面前时，也会露出这样的一面。	“你们要悔改”（译注：《圣经·马太福音》3章第2節）＠背对十字的光线，稳静地陈述着＠班里活跃的开心果＠站在有烦恼的人面前，也会露出这样的一面	wiki_memoria_keyed	98	1.0	memoria.json number=1561 desc_zh	「悔い改めなさい」\n\n十字の光を背にして、おしとやかにそう告げる\n\nクラスの明るいムードメーカーも\n\n悩める人の前に立てば、こんな一面を見せる	wiki_authority
3545	pieceList.json	1561	pieceName	城镇角落的一束微光	小镇一隅的微光	wiki_memoria_keyed	98	1.0	memoria.json number=1561 name_zh	町の片隅の小さな光	wiki_authority
3546	pieceList.json	1562	description	我是修女，所以祈祷。＠祈祷是爱，爱能够拯救生命。＠我是魔法少女，所以战斗。＠战斗是使命，使命能够拯救生命。	我是修女，所以要祈祷＠祈祷是爱，爱是拯救生命＠我是魔法少女，所以要战斗＠战斗是使命，使命是拯救生命	wiki_memoria_keyed	98	1.0	memoria.json number=1562 desc_zh	アタシはシスター、だから祈る\n\n祈りは愛、愛は命を救う\n\nアタシは魔法少女、だから戦う\n\n戦いは使命、使命は命を救う	wiki_authority
3547	pieceList.json	1562	pieceName	肩负祈愿与使命的英雄	祈祷与使命的英雄	wiki_memoria_keyed	98	1.0	memoria.json number=1562 name_zh	祈りと使命のヒーロー	wiki_authority
3548	pieceList.json	1563	description	虽然没办法打扮得奢华时髦，＠但做梦总是被允许的。＠所以今天要尽情欣赏可爱事物，沉浸在时尚之中。＠稍微成熟一点的自己，将以美丽姿态迈步前行。	虽然没法实际上打扮得很奢华＠做梦还是能被允许的吧＠所以今天要阅览许多俏美的东西，沉浸在时尚中＠让稍稍带着些女人味的自己，以美妙的姿态迈出步伐	wiki_memoria_keyed	98	1.0	memoria.json number=1563 desc_zh	ぜいたくなオシャレなんてできないけど\n\n夢見ることならゆるされる\n\nだから今日はカワイイをいっぱいながめて、オシャレにひたる\n\nちょっぴりオトナな自分が、ステキな姿で歩き出すから	wiki_authority
3549	pieceList.json	1563	pieceName	不足一千日元的魔法	1000元不到的魔法	wiki_memoria_keyed	98	1.0	memoria.json number=1563 name_zh	1000円未満の魔法	wiki_authority
3550	pieceList.json	1564	description	与大家都认识的那个人非常相似的可爱少女。＠她是谁家的孩子？传闻中的孩子？＠关于家庭与喜好，源源不断的问题让好奇心停不下来。＠看见周围热闹的样子，少女也露出微笑；能交到一百个朋友吗？	和大家都知道的那个人非常相似的，可爱的少女＠她是从哪里来的？传闻里的那个孩子？＠家里的事、喜欢的事，溢出的兴趣无法打住＠看起来很热闹的少女也笑嘻嘻的，能交到100个朋友吗？	wiki_memoria_keyed	98	1.0	memoria.json number=1564 desc_zh	みんなが知ってるあの人に、とっても似ている可愛い少女\n\nこの子はどこの子？うわさの子？\n\nお家のことや好きなこと、飛び出す興味が止まらない\n\n賑わう様子に少女もにっこり、友だち100人できるかな？	wiki_authority
3551	pieceList.json	1564	pieceName	一登场便大受欢迎	自登场就是红人	wiki_memoria_keyed	98	1.0	memoria.json number=1564 name_zh	登場からの人気者	wiki_authority
3552	pieceList.json	1565	description	“这就是……米伊……”＠睁开眼睛后，感觉自己仿佛不再是原来的自己。＠明明只是在脸颊与嘴唇上添了一点颜色，＠却能稍微变成大人，这是姐姐不可思议的魔法。	“这是，我……”＠睁开眼睛，自己看着像都不像是自己了＠只是在脸颊和嘴唇上稍微染上了一点颜色而已＠能变得稍微成熟一点的、姐姐不可思议的魔法	wiki_memoria_keyed	98	1.0	memoria.json number=1565 desc_zh	「これが、ミィ…」\n\nまぶたを開けたら、自分が自分じゃないみたいだった\n\nほっぺやくちびるにほんのり色がついただけなのに\n\nちょっぴり大人になれちゃう、姉ちゃの不思議な不思議な魔法	wiki_authority
3553	pieceList.json	1565	pieceName	第一次化妆	首次化妆	wiki_memoria_keyed	98	1.0	memoria.json number=1565 name_zh	初めてのお化粧	wiki_authority
3554	pieceList.json	1566	description	离别踏着脚步逼近，一旦回头便会被它拉住手臂。＠即使前方是黑暗，只要面向前方前进就不会有事。＠因为在那里，一定有所有重要之人的笑容。＠只要不再失去这道目标，我就能够毫不迷茫地继续行走。	与告别的距离如此之近，回头的话大概就会被拉过去＠即使前方是一片黑暗，也能平静地前行＠在那里一定有珍贵的大家的笑容＠只要不失去它，我就能没有迷茫地向前走	wiki_memoria_keyed	98	1.0	memoria.json number=1566 desc_zh	さよならは足音を立てて近づいてきて、振り返れば腕を引かれてしまう\n\nたとえ向かう先が暗闇だとしても、前を向いて進めば平気\n\nその先に、きっと大切なみんなの笑顔があるから\n\nそれさえ見失わなければ、私はもう迷わずに歩いて行ける	wiki_authority
3555	pieceList.json	1566	pieceName	为了不再迷惘前行的光	为坚毅前行点亮的光	wiki_memoria_keyed	98	1.0	memoria.json number=1566 name_zh	迷わず進むための光	wiki_authority
3556	pieceList.json	1567	description	打开前谁也不知道，里面会跳出鬼还是蛇。＠给人们送去笑容的驯鹿圣诞老人，拥有特制魔法送餐箱。＠无论是抱膝蜷缩的孩子，还是泪流满面的孩子，＠最后都会笑逐颜开；箱里装满了“笑容”的魔法。	是吉是凶，打开箱子之前都是未知数＠运送笑容的驯鹿圣诞老人的，特制魔法提箱BOX＠无论是那个抱着膝盖的孩子，还是那个流泪的孩子＠最后都能让大家变得笑嘻嘻，充满了“笑容”的魔法	wiki_memoria_keyed	98	1.0	memoria.json number=1567 desc_zh	鬼が出るか蛇が出るか、開けてみるまでわからない\n\n笑顔を運ぶトナカイサンタの、特製マジカルオカモチBOX\n\n膝をかかえたあの子も、涙にくれるその子も\n\n最後はみんなニコニコ笑う、“笑顔”の魔法が詰まってる	wiki_authority
